file_name,parent_file_val,number_of_segments_val,number_of_voices_parent_val,noisy_val,extra_sounds_val,parent_label_val,segment_label_val,notes_val
upw3o9xs71p61_processed_16,upw3o9xs71p61,27.0,2.0,,,2.0,2.0,
upw3o9xs71p61_processed_18,upw3o9xs71p61,27.0,2.0,,,2.0,2.0,
upw3o9xs71p61_processed_19,upw3o9xs71p61,27.0,2.0,,,2.0,2.0,
upw3o9xs71p61_processed_20,upw3o9xs71p61,27.0,2.0,,,2.0,2.0,
upw3o9xs71p61_processed_21,upw3o9xs71p61,27.0,2.0,,,2.0,2.0,
upw3o9xs71p61_processed_22,upw3o9xs71p61,27.0,2.0,,,2.0,2.0,
upw3o9xs71p61_processed_23,upw3o9xs71p61,27.0,2.0,,BGM,2.0,2.0,
upw3o9xs71p61_processed_24,upw3o9xs71p61,27.0,2.0,,BGM,2.0,2.0,
upw3o9xs71p61_processed_25,upw3o9xs71p61,27.0,2.0,,BGM,2.0,2.0,
upw3o9xs71p61_processed_26,upw3o9xs71p61,27.0,2.0,,BGM,2.0,1.0,
uqufqavw1sy61_processed_0,uqufqavw1sy61,5.0,2.0,,,2.0,1.0,
uqufqavw1sy61_processed_3,uqufqavw1sy61,5.0,2.0,,,2.0,1.0,
uqufqavw1sy61_processed_4,uqufqavw1sy61,5.0,2.0,,,2.0,1.0,
ut49qgxtzka71_processed_0,ut49qgxtzka71,4.0,3.0,,,3.0,2.0,
ut49qgxtzka71_processed_1,ut49qgxtzka71,4.0,3.0,,,3.0,3.0,
ut49qgxtzka71_processed_2,ut49qgxtzka71,4.0,3.0,,,3.0,2.0,
ut49qgxtzka71_processed_3,ut49qgxtzka71,4.0,3.0,,,3.0,2.0,
utkpnmjf64t51_processed_0,utkpnmjf64t51,5.0,2.0,,,2.0,2.0,
utkpnmjf64t51_processed_1,utkpnmjf64t51,5.0,2.0,,,2.0,2.0,
utkpnmjf64t51_processed_3,utkpnmjf64t51,5.0,2.0,,,2.0,1.0,
utkpnmjf64t51_processed_4,utkpnmjf64t51,5.0,2.0,,,2.0,1.0,
uvknf21t4gf61_processed_0,uvknf21t4gf61,2.0,3.0,,,3.0,2.0,
uvknf21t4gf61_processed_1,uvknf21t4gf61,2.0,3.0,,,3.0,3.0,
uy1pvvhw4fy51_processed_0,uy1pvvhw4fy51,2.0,2.0,,,2.0,2.0,
uy1pvvhw4fy51_processed_1,uy1pvvhw4fy51,2.0,2.0,,,2.0,1.0,
uyh2fvtr6lb71_processed_0,uyh2fvtr6lb71,6.0,1.0,,,1.0,1.0,
uyh2fvtr6lb71_processed_1,uyh2fvtr6lb71,6.0,1.0,,,1.0,1.0,
uyh2fvtr6lb71_processed_2,uyh2fvtr6lb71,6.0,1.0,,,1.0,1.0,
uyh2fvtr6lb71_processed_3,uyh2fvtr6lb71,6.0,1.0,,,1.0,1.0,
uyh2fvtr6lb71_processed_4,uyh2fvtr6lb71,6.0,1.0,,,1.0,1.0,
uyh2fvtr6lb71_processed_5,uyh2fvtr6lb71,6.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_0,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_1,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_2,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_3,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_4,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_5,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_6,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_7,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uypv850e04s61_processed_8,uypv850e04s61,9.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_0,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_1,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_2,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_3,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_4,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_5,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_6,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_7,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_8,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_9,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_10,uzullewafjj51,12.0,1.0,,,1.0,1.0,
uzullewafjj51_processed_11,uzullewafjj51,12.0,1.0,,,1.0,1.0,
v1jki6msfys51_processed_0,v1jki6msfys51,4.0,2.0,,,2.0,1.0,
v1jki6msfys51_processed_1,v1jki6msfys51,4.0,2.0,,,2.0,1.0,
v1jki6msfys51_processed_2,v1jki6msfys51,4.0,2.0,,,2.0,2.0,
v3mna3qbpik51_processed_0,v3mna3qbpik51,10.0,2.0,,,2.0,2.0,
v3mna3qbpik51_processed_1,v3mna3qbpik51,10.0,2.0,,,2.0,1.0,
v3mna3qbpik51_processed_2,v3mna3qbpik51,10.0,2.0,,,2.0,1.0,
v3mna3qbpik51_processed_3,v3mna3qbpik51,10.0,2.0,,,2.0,2.0,
v3mna3qbpik51_processed_4,v3mna3qbpik51,10.0,2.0,,,2.0,2.0,
v3mna3qbpik51_processed_5,v3mna3qbpik51,10.0,2.0,,,2.0,2.0,
v3mna3qbpik51_processed_6,v3mna3qbpik51,10.0,2.0,,,2.0,2.0,
v3mna3qbpik51_processed_7,v3mna3qbpik51,10.0,2.0,,,2.0,1.0,
v8qi9j66hoc61_processed_0,v8qi9j66hoc61,6.0,3.0,,,3.0,2.0,
v8qi9j66hoc61_processed_1,v8qi9j66hoc61,6.0,3.0,,,3.0,2.0,
v8qi9j66hoc61_processed_2,v8qi9j66hoc61,6.0,3.0,,,3.0,2.0,
v8qi9j66hoc61_processed_3,v8qi9j66hoc61,6.0,3.0,,,3.0,2.0,
v8qi9j66hoc61_processed_4,v8qi9j66hoc61,6.0,3.0,,,3.0,2.0,
v8qi9j66hoc61_processed_5,v8qi9j66hoc61,6.0,3.0,,,3.0,0.0,
v9wt25xozoa71_processed_0,v9wt25xozoa71,4.0,2.0,,,2.0,2.0,
v9wt25xozoa71_processed_1,v9wt25xozoa71,4.0,2.0,,,2.0,1.0,
vax1ehhhpv661_processed_0,vax1ehhhpv661,3.0,2.0,,,2.0,2.0,
vax1ehhhpv661_processed_1,vax1ehhhpv661,3.0,2.0,,,2.0,2.0,
vax1ehhhpv661_processed_2,vax1ehhhpv661,3.0,2.0,,,2.0,1.0,
vbf40hc5l7571_processed_0,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_1,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_3,vbf40hc5l7571,15.0,3.0,,,3.0,3.0,
vbf40hc5l7571_processed_4,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_5,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_6,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_7,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_8,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vbf40hc5l7571_processed_9,vbf40hc5l7571,15.0,3.0,,,3.0,1.0,
vbf40hc5l7571_processed_10,vbf40hc5l7571,15.0,3.0,,,3.0,3.0,
vbf40hc5l7571_processed_11,vbf40hc5l7571,15.0,3.0,,,3.0,3.0,
vbf40hc5l7571_processed_12,vbf40hc5l7571,15.0,3.0,,,3.0,3.0,
vbf40hc5l7571_processed_13,vbf40hc5l7571,15.0,3.0,,,3.0,2.0,
vcuqc9cmpyv51_processed_0,vcuqc9cmpyv51,6.0,2.0,,,2.0,2.0,
vcuqc9cmpyv51_processed_1,vcuqc9cmpyv51,6.0,2.0,,,2.0,1.0,
vcuqc9cmpyv51_processed_2,vcuqc9cmpyv51,6.0,2.0,,,2.0,2.0,
vcuqc9cmpyv51_processed_3,vcuqc9cmpyv51,6.0,2.0,,,2.0,2.0,
vcuqc9cmpyv51_processed_4,vcuqc9cmpyv51,6.0,2.0,,,2.0,2.0,
vcuqc9cmpyv51_processed_5,vcuqc9cmpyv51,6.0,2.0,,,2.0,2.0,
vdjq1vb93ky51_processed_0,vdjq1vb93ky51,6.0,2.0,,,2.0,1.0,
vdjq1vb93ky51_processed_3,vdjq1vb93ky51,6.0,2.0,,,2.0,2.0,
vdjq1vb93ky51_processed_4,vdjq1vb93ky51,6.0,2.0,,,2.0,2.0,
vdjq1vb93ky51_processed_5,vdjq1vb93ky51,6.0,2.0,,,2.0,2.0,
vdmtsuj4xqa61_processed_0,vdmtsuj4xqa61,3.0,2.0,,,2.0,2.0,
vdmtsuj4xqa61_processed_1,vdmtsuj4xqa61,3.0,2.0,,,2.0,2.0,
vdmtsuj4xqa61_processed_2,vdmtsuj4xqa61,3.0,2.0,,,2.0,0.0,
vhxb8ug61sa71_processed_0,vhxb8ug61sa71,3.0,1.0,,Car honking,1.0,0.0,
vhxb8ug61sa71_processed_1,vhxb8ug61sa71,3.0,1.0,,Car honking,1.0,1.0,
vhxb8ug61sa71_processed_2,vhxb8ug61sa71,3.0,1.0,,Car honking,1.0,0.0,
voljnwtov4c61_processed_0,voljnwtov4c61,6.0,0.0,,Wind blowing,0.0,0.0,
voljnwtov4c61_processed_1,voljnwtov4c61,6.0,0.0,,Wind blowing,0.0,0.0,
voljnwtov4c61_processed_2,voljnwtov4c61,6.0,0.0,,Wind blowing,0.0,0.0,
voljnwtov4c61_processed_3,voljnwtov4c61,6.0,0.0,,Wind blowing,0.0,0.0,
voljnwtov4c61_processed_4,voljnwtov4c61,6.0,0.0,,Wind blowing,0.0,0.0,
voljnwtov4c61_processed_5,voljnwtov4c61,6.0,0.0,,Wind blowing,0.0,0.0,
vott23x9fwm51_processed_0,vott23x9fwm51,2.0,4.0,,,4.0,4.0,
vott23x9fwm51_processed_1,vott23x9fwm51,2.0,4.0,,,4.0,2.0,
vpt0o111u0c61_processed_0,vpt0o111u0c61,5.0,2.0,,,2.0,2.0,
vpt0o111u0c61_processed_1,vpt0o111u0c61,5.0,2.0,,,2.0,1.0,
vpt0o111u0c61_processed_2,vpt0o111u0c61,5.0,2.0,,,2.0,1.0,
vpt0o111u0c61_processed_3,vpt0o111u0c61,5.0,2.0,,,2.0,1.0,
vpt0o111u0c61_processed_4,vpt0o111u0c61,5.0,2.0,,,2.0,0.0,
vqamufx4vmg51_processed_0,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_1,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_2,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_3,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_4,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_5,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_6,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_7,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_8,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_9,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_10,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_11,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_12,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_13,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_14,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_16,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_17,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_19,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_20,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_21,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_22,vqamufx4vmg51,25.0,3.0,,,3.0,2.0,
vqamufx4vmg51_processed_23,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vqamufx4vmg51_processed_24,vqamufx4vmg51,25.0,3.0,,,3.0,1.0,
vsrmdvtogzj51_processed_1,vsrmdvtogzj51,8.0,3.0,,,3.0,3.0,
vsrmdvtogzj51_processed_2,vsrmdvtogzj51,8.0,3.0,,,3.0,3.0,
vsrmdvtogzj51_processed_3,vsrmdvtogzj51,8.0,3.0,,,3.0,2.0,
vsrmdvtogzj51_processed_4,vsrmdvtogzj51,8.0,3.0,,,3.0,2.0,
vsrmdvtogzj51_processed_6,vsrmdvtogzj51,8.0,3.0,,,3.0,2.0,
vsrmdvtogzj51_processed_7,vsrmdvtogzj51,8.0,3.0,,,3.0,2.0,
vv6vetoibk971_processed_0,vv6vetoibk971,4.0,3.0,,Crowad yelling,0.0,0.0,
vv6vetoibk971_processed_1,vv6vetoibk971,4.0,3.0,,Crowad yelling,0.0,0.0,
vv6vetoibk971_processed_2,vv6vetoibk971,4.0,3.0,,Crowad yelling,0.0,0.0,
vv6vetoibk971_processed_3,vv6vetoibk971,4.0,3.0,,Crowad yelling,0.0,0.0,
vy20oxtwltz51_processed_0,vy20oxtwltz51,13.0,4.0,,,4.0,2.0,
vy20oxtwltz51_processed_1,vy20oxtwltz51,13.0,4.0,,,4.0,2.0,
vy20oxtwltz51_processed_2,vy20oxtwltz51,13.0,4.0,,,4.0,2.0,
vy20oxtwltz51_processed_3,vy20oxtwltz51,13.0,4.0,,,4.0,2.0,
vy20oxtwltz51_processed_4,vy20oxtwltz51,13.0,4.0,,,4.0,3.0,
vy20oxtwltz51_processed_5,vy20oxtwltz51,13.0,4.0,,,4.0,1.0,
vy20oxtwltz51_processed_6,vy20oxtwltz51,13.0,4.0,,,4.0,3.0,
vy20oxtwltz51_processed_7,vy20oxtwltz51,13.0,4.0,,,4.0,1.0,
vy20oxtwltz51_processed_8,vy20oxtwltz51,13.0,4.0,,,4.0,2.0,
vy20oxtwltz51_processed_9,vy20oxtwltz51,13.0,4.0,,,4.0,0.0,
vy20oxtwltz51_processed_10,vy20oxtwltz51,13.0,4.0,,,4.0,0.0,
vy20oxtwltz51_processed_11,vy20oxtwltz51,13.0,4.0,,,4.0,2.0,
vzzx1nl2jmn61_processed_2,vzzx1nl2jmn61,9.0,4.0,,,4.0,2.0,
vzzx1nl2jmn61_processed_3,vzzx1nl2jmn61,9.0,4.0,,,4.0,2.0,
vzzx1nl2jmn61_processed_6,vzzx1nl2jmn61,9.0,4.0,,,4.0,2.0,
vzzx1nl2jmn61_processed_7,vzzx1nl2jmn61,9.0,4.0,,,4.0,2.0,
vzzx1nl2jmn61_processed_8,vzzx1nl2jmn61,9.0,4.0,,,4.0,1.0,
w9e9hk5ihzp61_processed_0,w9e9hk5ihzp61,4.0,3.0,,,0.0,0.0,
w9e9hk5ihzp61_processed_1,w9e9hk5ihzp61,4.0,3.0,,,0.0,0.0,
w9e9hk5ihzp61_processed_2,w9e9hk5ihzp61,4.0,3.0,,,0.0,0.0,
w9e9hk5ihzp61_processed_3,w9e9hk5ihzp61,4.0,3.0,,,0.0,0.0,
waf4r22g3i071_processed_0,waf4r22g3i071,4.0,2.0,,,2.0,1.0,
waf4r22g3i071_processed_1,waf4r22g3i071,4.0,2.0,,,2.0,1.0,
waf4r22g3i071_processed_2,waf4r22g3i071,4.0,2.0,,,2.0,2.0,
waf4r22g3i071_processed_3,waf4r22g3i071,4.0,2.0,,,2.0,1.0,
wh0gap71w1461_processed_0,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wh0gap71w1461_processed_1,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wh0gap71w1461_processed_2,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wh0gap71w1461_processed_3,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wh0gap71w1461_processed_4,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wh0gap71w1461_processed_5,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wh0gap71w1461_processed_6,wh0gap71w1461,7.0,2.0,,,2.0,2.0,
wjha1sf516b71_processed_0,wjha1sf516b71,5.0,0.0,,BGM,0.0,0.0,
wjha1sf516b71_processed_1,wjha1sf516b71,5.0,0.0,,BGM,0.0,0.0,
wjha1sf516b71_processed_2,wjha1sf516b71,5.0,0.0,,BGM,0.0,0.0,
wjha1sf516b71_processed_3,wjha1sf516b71,5.0,0.0,,Crowd noise,0.0,0.0,Unknown language
wjha1sf516b71_processed_4,wjha1sf516b71,5.0,0.0,,,0.0,0.0,
wkgibcp6fro51_processed_0,wkgibcp6fro51,5.0,0.0,,,0.0,0.0,
wkgibcp6fro51_processed_1,wkgibcp6fro51,5.0,0.0,,,0.0,0.0,
wkgibcp6fro51_processed_2,wkgibcp6fro51,5.0,0.0,,,0.0,0.0,
wkgibcp6fro51_processed_3,wkgibcp6fro51,5.0,0.0,,,0.0,0.0,
wkgibcp6fro51_processed_4,wkgibcp6fro51,5.0,0.0,,,0.0,0.0,
wocoyi48sgs51_processed_0,wocoyi48sgs51,7.0,2.0,,,2.0,1.0,
wocoyi48sgs51_processed_1,wocoyi48sgs51,7.0,2.0,,,2.0,2.0,
wocoyi48sgs51_processed_2,wocoyi48sgs51,7.0,2.0,,,2.0,2.0,
wocoyi48sgs51_processed_3,wocoyi48sgs51,7.0,2.0,,,2.0,2.0,
wocoyi48sgs51_processed_4,wocoyi48sgs51,7.0,2.0,,,2.0,1.0,
wocoyi48sgs51_processed_5,wocoyi48sgs51,7.0,2.0,,,2.0,1.0,
wocoyi48sgs51_processed_6,wocoyi48sgs51,7.0,2.0,,,2.0,0.0,
wspxs1zbhm671_processed_1,wspxs1zbhm671,3.0,2.0,,,2.0,2.0,
wspxs1zbhm671_processed_2,wspxs1zbhm671,3.0,2.0,,,2.0,0.0,Unkown language
wunn1jjbpu961_processed_0,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_1,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_2,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_3,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_4,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_5,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_6,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_7,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_8,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_9,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_10,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_11,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_12,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_13,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_14,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunn1jjbpu961_processed_15,wunn1jjbpu961,16.0,1.0,,,1.0,1.0,
wunqa6kfsvx51_processed_0,wunqa6kfsvx51,4.0,1.0,,,1.0,1.0,
wunqa6kfsvx51_processed_1,wunqa6kfsvx51,4.0,1.0,,Phone ringing,1.0,1.0,
wunqa6kfsvx51_processed_2,wunqa6kfsvx51,4.0,1.0,,,1.0,1.0,
wunqa6kfsvx51_processed_3,wunqa6kfsvx51,4.0,1.0,,,1.0,1.0,
x705shsub7m61_processed_0,x705shsub7m61,6.0,1.0,,,1.0,1.0,
x705shsub7m61_processed_1,x705shsub7m61,6.0,1.0,,,1.0,1.0,
x705shsub7m61_processed_2,x705shsub7m61,6.0,1.0,,,1.0,1.0,
x705shsub7m61_processed_3,x705shsub7m61,6.0,1.0,,,1.0,1.0,
x705shsub7m61_processed_4,x705shsub7m61,6.0,1.0,,,1.0,1.0,
x705shsub7m61_processed_5,x705shsub7m61,6.0,1.0,,,1.0,1.0,
x9i397iuxh971_processed_0,x9i397iuxh971,2.0,3.0,,,3.0,2.0,
xan1gwbxrwc61_processed_0,xan1gwbxrwc61,5.0,1.0,,,1.0,1.0,
xan1gwbxrwc61_processed_1,xan1gwbxrwc61,5.0,1.0,,Woman Crying,1.0,1.0,
xan1gwbxrwc61_processed_2,xan1gwbxrwc61,5.0,1.0,,,1.0,1.0,
xan1gwbxrwc61_processed_3,xan1gwbxrwc61,5.0,1.0,,,1.0,1.0,
xan1gwbxrwc61_processed_4,xan1gwbxrwc61,5.0,1.0,,,1.0,1.0,
xbw64yf04th51_processed_1,xbw64yf04th51,9.0,2.0,,,2.0,2.0,
xbw64yf04th51_processed_3,xbw64yf04th51,9.0,2.0,,,2.0,2.0,
xbw64yf04th51_processed_5,xbw64yf04th51,9.0,2.0,,BGM,2.0,0.0,
xbw64yf04th51_processed_6,xbw64yf04th51,9.0,2.0,,BGM,2.0,0.0,
xbw64yf04th51_processed_7,xbw64yf04th51,9.0,2.0,,BGM,2.0,1.0,
xbw64yf04th51_processed_8,xbw64yf04th51,9.0,2.0,,BGM,2.0,0.0,
xc76oggvh2471_processed_0,xc76oggvh2471,7.0,2.0,,,2.0,2.0,
xc76oggvh2471_processed_2,xc76oggvh2471,7.0,2.0,,,2.0,2.0,
xc76oggvh2471_processed_4,xc76oggvh2471,7.0,2.0,,,2.0,2.0,
xda96lajcd871_processed_0,xda96lajcd871,3.0,0.0,,BGM,0.0,0.0,
xda96lajcd871_processed_1,xda96lajcd871,3.0,0.0,,BGM,0.0,0.0,
xda96lajcd871_processed_2,xda96lajcd871,3.0,0.0,,BGM,0.0,0.0,
xdz15thrnem51_processed_0,xdz15thrnem51,14.0,3.0,,,3.0,2.0,
xdz15thrnem51_processed_3,xdz15thrnem51,14.0,3.0,,,3.0,2.0,
xdz15thrnem51_processed_5,xdz15thrnem51,14.0,3.0,,,3.0,2.0,
xdz15thrnem51_processed_6,xdz15thrnem51,14.0,3.0,,,3.0,2.0,
xdz15thrnem51_processed_7,xdz15thrnem51,14.0,3.0,,,3.0,2.0,unknown language
xdz15thrnem51_processed_8,xdz15thrnem51,14.0,3.0,,,3.0,3.0,unknown language
xdz15thrnem51_processed_9,xdz15thrnem51,14.0,3.0,,,3.0,2.0,unknown language
xdz15thrnem51_processed_11,xdz15thrnem51,14.0,3.0,,,3.0,3.0,
xdz15thrnem51_processed_12,xdz15thrnem51,14.0,3.0,,,3.0,2.0,
xdz15thrnem51_processed_13,xdz15thrnem51,14.0,3.0,,,3.0,3.0,
